twitter_tweet_id,twitter_user_id,twitter_mention_screen_name,twitter_mention_name,twitter_mention_id
792697361248161792,46376581,narendramodi,"Narendra Modi",18839785
777051787564093440,46376581,narendramodi,"Narendra Modi",18839785
756942082590343168,46376581,narendramodi,"Narendra Modi",18839785
739001426744074240,46376581,narendramodi,"Narendra Modi",18839785
733215138090749952,46376581,narendramodi,"Narendra Modi",18839785
698189078181900288,46376581,narendramodi,"Narendra Modi",18839785
673075176901361664,46376581,ashrafghani,"Ashraf Ghani",46376581
665423343965888512,46376581,fhollande,"François Hollande",18814998
654887581323280384,46376581,POTUS,"President Trump",822215679726100480
621735439091769344,46376581,ashrafghani,"Ashraf Ghani",46376581
618732500064563201,46376581,ARG_AFG,ارگ,413756746
618732500064563201,46376581,ashrafghani,"Ashraf Ghani",46376581
618732489893396480,46376581,ARG_AFG,ارگ,413756746
618732489893396480,46376581,ashrafghani,"Ashraf Ghani",46376581
616143921010356224,46376581,ARG_AFG,ارگ,413756746
616143921010356224,46376581,ashrafghani,"Ashraf Ghani",46376581
616143904254111745,46376581,ARG_AFG,ارگ,413756746
616143904254111745,46376581,ashrafghani,"Ashraf Ghani",46376581
608291722817372161,46376581,ARG_AFG,ارگ,413756746
608291722817372161,46376581,ashrafghani,"Ashraf Ghani",46376581
608291682006802432,46376581,ARG_AFG,ارگ,413756746
608291682006802432,46376581,ashrafghani,"Ashraf Ghani",46376581
608291644522295297,46376581,ARG_AFG,ارگ,413756746
608291644522295297,46376581,ashrafghani,"Ashraf Ghani",46376581
603557015005323264,46376581,hmohib,"Hamdullah Mohib",1346891520
603550151966203904,46376581,AjmalObaidABIDY,"Ajmal Obaid ABIDY",2341868839
601367201568968705,46376581,ARG_AFG,ارگ,413756746
601367201568968705,46376581,ashrafghani,"Ashraf Ghani",46376581
601365438333898752,46376581,ARG_AFG,ارگ,413756746
601365432226938880,46376581,ARG_AFG,ارگ,413756746
601365333824372736,46376581,ashrafghani,"Ashraf Ghani",46376581
597775012901351424,46376581,ARG_AFG,ارگ,413756746
597775012901351424,46376581,ashrafghani,"Ashraf Ghani",46376581
597774978566750208,46376581,ARG_AFG,ارگ,413756746
597774978566750208,46376581,ashrafghani,"Ashraf Ghani",46376581
597774933557673984,46376581,ARG_AFG,ارگ,413756746
597774933557673984,46376581,ashrafghani,"Ashraf Ghani",46376581
597774876066369536,46376581,ARG_AFG,ارگ,413756746
597774876066369536,46376581,ashrafghani,"Ashraf Ghani",46376581
861425355252535296,2870463431,EmmanuelMacron,"Emmanuel Macron",1976143068
856496338682470400,2870463431,CENTCOM,"U.S. Central Command",25159286
854729318991364096,2870463431,UN,"United Nations",14159148
853814272492789760,2870463431,AmrullahSaleh2,"Amrullah Saleh",622868850
852049949298757634,2870463431,USIP,"U.S. Inst. of Peace",19784906
849480113964109825,2870463431,MohammadNabi007,"Mohammad Nabi",2330771738
849480113964109825,2870463431,rashidkhan_19,"Rashid Khan",729582793576042496
849480113964109825,2870463431,IPL,IndianPremierLeague,15639696
843761206141878272,2870463431,AmbMellbin,"F-M Mellbin",2188283340
841613519451766785,2870463431,IG2017CEO,"Michael Burns",821437199040315392
841613519451766785,2870463431,InvictusAFG,"Invictus Afghanistan",831084239567335426
