Name,Twitter Handle,Country
Ashraf Ghani,@ashrafghani ‏,Afghanistan
Abdullah Abdullah,@afgexecutive ‏,Afghanistan
Edi Rama,@ediramaal ‏,Albania
Abdelmalek Sellal,@AmSellal ‏,Algeria
Official Account of Andorra,@GovernAndorra ‏,Andorra
Mauricio Macri,@mauriciomacri ‏,Argentina
Official Account,@armenia ‏,Armenia
Malcolm Turnbull,@TurnbullMalcolm ‏,Australia
Alexander Van der Bellen,@vanderbellen ‏,Austria
Christian Kern,@KernChri ‏,Austria
Ilham Aliyev,@presidentaz ‏,Azerbaijan
 Hubert Minnis,@HubertAMinnis ‏,"Bahamas, The"
Official Account,@moi_bahrain ‏,Bahrain
Sheikh Hasina,@sheikhhasina,Bangladesh
Charles Michel,@CharlesMichel ‏,Belgium
Patrice Talon,@patrice_talon,Benin
Tshering Tobgay,@tsheringtobgay,Bhutan
Evo Morales,@evoespueblo ‏,Bolivia
Mladen Ivanić,@MladenIvanic ‏,Bosnia and Herzegovina
Michel Temer,@MichelTemer ‏,Brazil
Official Account,@PresidentOfBg,Bulgaria
Paul Kaba Thieba,@KabaThieba,Burkina Faso
Pierre Nkurunziza,@pnkurunziza ‏,Burundi
Hun Sen,@hunsencambodia,Cambodia
Paul Biya,@paulbiyareports,Cameroon
Official Account,@PR_Paul_Biya ‏,Cameroon
David Johnston,@GGDavidJohnston ‏,Canada
Justin Trudeau,@JustinTrudeau ‏,Canada
Jorge Carlos Fonseca,@Jorgecfonseca ‏,Cape Verde
Idriss Déby,@ID_Itno ‏,Chad
Michelle Bachelet,@mbachelet,Chile
Juan Manuel Santos,@JuanManSantos ‏,Colombia
Azali Assoumani,@Azali_Assoumani,Comoros
Joseph Kabila,@RDCJosephKabila,"Congo, Democratic Republic of the"
Bruno Tshibala,@BrunoTshibala ‏,"Congo, Democratic Republic of the"
Denis Sassou Nguesso,@SassouCG ‏,"Congo, Republic of the"
Clément Mouamba,@ClementMouamba,"Congo, Republic of the"
Luis Guillermo Solís,@luisguillermosr ‏,Costa Rica
Andrej Plenković,@AndrejPlenkovic,Croatia
Raúl Castro,@RaulCastroR,Cuba
Nicos Anastasiades,@AnastasiadesCY ‏,Cyprus
Bohuslav Sobotka,@SlavekSobotka,Czech Republic
Lars Løkke Rasmussen,@larsloekke ‏,Denmark
Ismaïl Omar Guelleh,@IsmailOguelleh ‏,Djibouti
Abdoulkader Kamil Mohamed,@A_Kamil_Mohamed,Djibouti
Roosevelt Skerrit,@SkerritR,Dominica
Danilo Medina,@DaniloMedina ‏,Dominican Republic
Taur Matan Ruak,@TaurMatanRuak,East Timor
Rafael Correa,@MashiRafael,Ecuador
Kersti Kaljulaid,@KerstiKaljulaid,Estonia
Jüri Ratas,@ratasjuri ‏,Estonia
Hailemariam Desalegn,@PrimeMinisterHD,Ethiopia
Frank Bainimarama,@FijiPM,Fiji
Sauli Niinistö,@niinisto ‏,Finland
Juha Sipilä,@juhasipila ‏,Finland
Emmanuel Macron,@EmmanuelMacron ‏,France
Édouard Philippe,@EPhilippe_LH,France
Ali Bongo Ondimba,@PresidentABO ‏,Gabon
Adama Barrow,@adama_barrow,"Gambia, The"
Giorgi Margvelashvili,@MargvelashviliG ‏,Georgia
Giorgi Kvirikashvili,@KvirikashviliGi ‏,Georgia
Nana Addo Dankwa Akufo-Addo,@NAkufoAddo ‏,Ghana
Official Account,@tsipras_eu ‏,Greece
Alexis Tsipras,@atsipras,Greece
Jimmy Morales,@jimmymoralesgt ‏,Guatemala
Alpha Condé,@PresAlphaConde,Guinea
Mamady Youla,@MamadyYoula,Guinea
Umaro Sissoco Embaló,@USEmbalo ‏,Guinea-Bissau
Moses Nagamootoo,@opmguyana ‏,Guyana
Jovenel Moïse,@moisejovenel ‏,Haiti
Jack Guy Lafontant,@LafontantGuy ‏,Haiti
Juan Orlando Hernández,@anagarciacarias ‏,Honduras
Bjarni Benediktsson,@Bjarni_Ben ‏,Iceland
Pranab Mukherjee,@PrezMukherjee,India
Narendra Modi,@narendramodi ‏,India
Joko Widodo,@jokowi ‏,Indonesia
Ayatollah Ali Khamenei,@khamenei_ir,Iran
Hassan Rouhani,@HassanRouhani ‏,Iran
Fuad Masum,@Dr_Fuad_Masum,Iraq
Haider al-Abadi,@HaiderAlAbadi ‏,Iraq
Michael D. Higgins,@PresidentIRL ‏,Ireland
Enda Kenny,@EndaKennyTD ‏,Ireland
Reuven Rivlin,@PresidentRuvi ‏,Israel
Benjamin Netanyahu,@netanyahu ‏,Israel
Paolo Gentiloni,@PaoloGentiloni ‏,Italy
Alassane Ouattara,@adosolutions ‏,Ivory Coast
Andrew Holness,@AndrewHolnessJM,Jamaica
Shinzō Abe,@AbeShinzo ‏,Japan
Abdullah II,@KingAbdullahII ‏,Jordan
Uhuru Kenyatta,@UKenyatta ‏,Kenya
Raimonds Vējonis,@Vejonis ‏,Latvia
Māris Kučinskis,@MarisKucinskis,Latvia
Michel Aoun,@General_Aoun ‏,Lebanon
Saad Hariri,@saadhariri ‏,Lebanon
Adrian Hasler,@adrian_hasler,Liechtenstein
Dalia Grybauskaitė,@Grybauskaite_LT ‏,Lithuania
Xavier Bettel,@Xavier_Bettel ‏,Luxembourg
Najib Razak,@NajibRazak ‏,Malaysia
Abdulla Yameen,@PresidentYameen,Maldives
Marie Louise Coleiro Preca,@presidentMT ‏,Malta
Joseph Muscat,@JosephMuscat_JM ‏,Malta
Hilda Heine,@President_Heine ‏,Marshall Islands
Ameenah Gurib,@aguribfakim ‏,Mauritius
Pravind Jugnauth,@pjugnauth,Mauritius
Enrique Peña Nieto,@EPN ‏,Mexico
Igor Dodon,@dodon_igor ‏,Moldova
Pavel Filip,@filip_pavel ‏,Moldova
Tsakhiagiin Elbegdorj,@elbegdorj ‏,Mongolia
Official Account,@MeGovernment ‏,Montenegro
Mohammed VI,@MoroccanMonarch ‏,Morocco
Filipe Nyusi,@FilipeNyusi,Mozambique
Aung San Suu Kyi,@OfficialSuuKyi,Myanmar
Hage Geingob,@hagegeingob ‏,Namibia
Bidhya Devi Bhandari,@president_nepal,Nepal
Mark Rutte,@markrutte ‏,Netherlands
Bill English,@pmbillenglish ‏,New Zealand
Mahamadou Issoufou,@Issoufoumhm,Niger
Muhammadu Buhari,@MBuhari ‏,Nigeria
Yemi Osinbajo,@ProfOsinbajo ‏,Nigeria
Erna Solberg,@erna_solberg ‏,Norway
Tommy Remengesau,@TommyRemengesau,Palau
Mahmoud Abbas,@president_abbas,Palestine
Rami Hamdallah,@RamiHamdalla ‏,Palestine
Juan Carlos Varela,@JC_Varela,Panama
Peter O'Neill,@PM_GOV_PG,Papua New Guinea
Horacio Cartes,@Horacio_Cartes ‏,Paraguay
Pedro Pablo Kuczynski,@ppkamigo ‏,Peru
Fernando Zavala,@fzavalal,Peru
Rodrigo Duterte,@RRD_Davao,Philippines
Andrzej Duda,@AndrzejDuda,Poland
Beata Szydło,@BeataSzydlo ‏,Poland
Marcelo Rebelo de Sousa,@marcelorebelo_,Portugal
António Costa,@antoniocostapm ‏,Portugal
Klaus Iohannis,@KlausIohannis,Romania
Vladimir Putin,@PutinRF_Eng ‏,Russia
Dmitry Medvedev,@MedvedevRussiaE ‏,Russia
Paul Kagame,@PaulKagame ‏,Rwanda
Anastase Murekezi,@amurekezi ‏,Rwanda
Timothy Harris,@pmharriskn,Saint Kitts and Nevis
Allen Chastanet,@AllenChastanet,Saint Lucia
Ralph Gonsalves,@ComradeRalph,Saint Vincent and the Grenadines
Official Account,@samoagovt ‏,Samoa
Patrice Trovoada,@PatriceTrovoada,São Tomé and Príncipe
King Salman,@KingSalman,Saudi Arabia
Macky Sall,@Macky_Sall ‏,Senegal
Tomislav Nikolić,@predsednikSR,Serbia
Aleksandar Vučić,@VucicAlexandar,Serbia
Danny Faure,@DannyFaure,Seychelles
Ernest Bai Koroma,@ebkoroma,Sierra Leone
Lee Hsien Loong,@leehsienloong ‏,Singapore
Andrej Kiska,@Andrej_Kiska ‏,Slovakia
Robert Fico,@RobertFico ‏,Slovakia
Borut Pahor,@BorutPahor ‏,Slovenia
Miro Cerar,@MiroCerar ‏,Slovenia
Elizabeth II,(see UK),Solomon Islands
Mohamed Abdullahi Mohamed,@M_Farmaajo,Somalia
Hassan Ali Khayre,@SomaliPM,Somalia
Jacob Zuma,@SAPresident,South Africa
Salva Kiir Mayardit,@PresidentKiir,South Sudan
Felipe VI,@CasaReal,Spain
Mariano Rajoy,@marianorajoy,Spain
Maithripala Sirisena,@MaithripalaS,Sri Lanka
Ranil Wickremesinghe,@RW_UNP,Sri Lanka
Dési Bouterse,@DBouterse,Suriname
Stefan Löfven,@SwedishPM,Sweden
Alain Berset,@alain_berset,Switzerland
Johann Schneider-Ammann,@_BR_JSA,Switzerland
Emomali Rahmon,@EmomaliRahmon,Tajikistan
John Magufuli,@MagufuliJP,Tanzania
Kassim Majaliwa,@majaliwa_kassim,Tanzania
Faure Gnassingbé,@FEGnassingbe,Togo
Keith Rowley,@DrKeithRowley,Trinidad and Tobago
Beji Caid Essebsi,@BejiCEOfficial,Tunisia
Youssef Chahed,@YoCh_Official,Tunisia
Recep Tayyip Erdoğan,@RT_Erdogan,Turkey
Binali Yıldırım,@BA_Yildirim,Turkey
Yoweri Museveni,@KagutaMuseveni,Uganda
Ruhakana Rugunda,@RuhakanaR,Uganda
 Petro Poroshenko,@poroshenko,Ukraine
Volodymyr Groysman,@VGroysman,Ukraine
Sheikh Khalifa bin Zayed Al Nahyan,@MBZNews,United Arab Emirates
Sheikh Mohammed bin Rashid Al Maktoum,@HHShkMohd,United Arab Emirates
Elizabeth II,@RoyalFamily,United Kingdom
Theresa May,@theresa_may,United Kingdom
Donald Trump,@realDonaldTrump,United States
Tabaré Vázquez,@TabareVazquez,Uruguay
Shavkat Mirziyoyev,@Sh_Mirziyoyev,Uzbekistan
Pope Francis,@Pontifex,Vatican City
 Nicolás Maduro,@NicolasMaduro,Venezuela
Edgar Lungu,@EdgarCLungu,Zambia
